 	Primary Angioplasty: Efficacy and Outcomes	Internationally ischaemic heart disease (IHD) is the single most common cause of death, and its frequency is increasing. The relative incidences of ST-elevation myocardial infarction (STEMI) and non-ST-elevation myocardial infarction (NSTEMI) are decreasing and increasing, respectively. In European countries, the incidence rate for STEMI ranges from 43 to 144 per 100,000 population per year. Similarly, the reported adjusted incidence rates from the USA decreased from 133 per 100,000 in 1999 to 50 per 100,000 in 2008, whereas the incidence of NSTEMI remained constant or increased slightly. STEMI is more common in younger than in older people and is more common in men than in women.	2019	eng	Review	 	31314430	https://www.ncbi.nlm.nih.gov/pubmed/31314430	heart+disease
The American journal of cardiology	Prevalence of Mental Illness in Adolescents and Adults With Congenital Heart Disease from the Colorado Congenital Heart Defect Surveillance System.	The aim of this study was to estimate the prevalence of the full spectrum of mental illness in adolescents (aged 11 to 17) and adults (aged 18 to 64) with congenital heart defects (CHDs) in the population-level Colorado Congenital Heart Disease Surveillance System. Further we sought to investigate whether severity of the defect, frequency of recent cardiac procedures or underlying genetic disorders influence these estimates. The cohort included patients in clinical care for CHDs between January 1, 2011 and December 31, 2013, identified across multiple healthcare systems and insurance claims. Of 2,192 adolescents with CHDs, 20% were diagnosed with a mental illness with the most prevalent categories being developmental disorders (8%), anxiety disorders (6%), attention, conduct, behavior, impulse control disorders (6%), and mood disorders (5%). Of 6,924 adults with CHDs, 33% were diagnosed with a mental illness with the most prevalent categories being mood disorders (13%), anxiety disorders (13%), and substance-related disorders (6%). Greater lesion complexity was associated with a higher likelihood of anxiety and developmental disorders in both adolescents and adults. Adolescents and adults who had ≥2 cardiac procedures in the 3-year surveillance period had a 3- and 4.5-fold higher likelihood of a mental illness diagnosis, respectively, compared with those who had fewer than 2 cardiac procedures. Finally, patients with a genetic syndrome were more likely to have a mental illness diagnosis. In conclusion, mental illness is a prevalent co-morbidity in the adolescent and adult population with CHDs, thus comprehensive care should include mental health care.	2019	eng	Journal Article	United States	31303246	https://www.ncbi.nlm.nih.gov/pubmed/31303246	heart+disease
Journal of the American Heart Association	Prevalence and Cardiovascular Health Impact of Family History of Premature Heart Disease in the United States: Analysis of the National Health and Nutrition Examination Survey, 2007-2014.	Background Because family history is a known risk factor for heart disease, it is important to characterize its public health impact in terms of population prevalence of family history of heart disease, the burden of heart disease attributable to family history, and whether family history interacts with modifiable risk factors for heart disease. Methods and Results We used population data from NHANES (the National Health and Nutrition Examination Survey [2007-2014]) to measure the association of self-reported family history of premature heart disease ( FHPHD ) with cardiovascular disease (n=19 253) and to examine the association between cardiovascular health metrics and FHPHD (n=16 248). Using logistic regression and multivariable adjustment, family history odds ratios were 5.91 (95% CI , 3.34-10.44) for ages 20 to 39, 3.02 (95% CI, 2.41-3.79) for ages 40 to 59, and 1.87 (95% CI , 1.54-2.28) for age ≥60 for cardiovascular disease. The prevalence of cardiovascular disease for the population with a FHPHD (15.72%; 95% CI , 13.81-17.64) was more than double the prevalence of cardiovascular disease for those without a family history (6.25%; 95% CI , 5.82-6.69). Compared with participants with optimum cardiovascular health, the prevalence ratio for FHPHD was 1.98 (95% CI , 1.40-2.79) for those with inadequate cardiovascular health. Conclusions Millions of people who are at high risk of having cardiovascular disease could be identified using FHPHD . FHPHD can become an important component of public health campaigns that address modifiable risk factors that plan to reduce the overall risk of heart disease.	2019	eng	Journal Article	England	31303097	https://www.ncbi.nlm.nih.gov/pubmed/31303097	heart+disease
Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics	[Clinical and genetic analysis of a case carrying 7p22.3 deletion, 7p22.3p22.2 duplication and 7q33q36.3 duplication].	CMA can precisely detect microdeletion/duplications and facilitate the genotype-phenotype correlation analysis.	2019	chi	Journal Article	China	31302917	https://www.ncbi.nlm.nih.gov/pubmed/31302917	heart+disease
Chinese journal of integrative medicine	Effect and Safety of Guanxinning Tablet () for Stable Angina Pectoris Patients with Xin (Heart)-Blood Stagnation Syndrome: A Randomized, Multicenter, Placebo-Controlled Trial.	GXN was a safe and effective treatment for stable angina pectoris patients with XBSS at a dose of 4 tablets, thrice daily.	2019	eng	Journal Article	China	31302851	https://www.ncbi.nlm.nih.gov/pubmed/31302851	heart+disease
Heart and vessels	Early palliative balloon pulmonary valvuloplasty in neonates and young infants with tetralogy of Fallot.	We aim to clarify the efficacy of early palliative balloon pulmonary valvuloplasty (BPV) in neonates and young infants (< 60 days) with tetralogy of Fallot (TOF). We performed palliative BPV in 31 subjects, regardless of the presence of cyanosis, with Z score of the pulmonary valve diameter (PVD) less than - 2.00. Primary and secondary endpoints were to avoid early surgical interventions for subjects within 6 months of age and to undergo the pulmonary valve-sparing procedure at corrective surgery, respectively. We studied factors associated with these outcomes among them. BPV was performed at 19 days (14-33) of age and with a weight of 3.34 kg (3.02-3.65). Systemic oxygen saturation, Z score of the PVD, and pulmonary arterial index (PAI) were 87% (81-91), - 3.56 (- 4.15 to - 2.62), and 128 mm	2019	eng	Journal Article	Japan	31302722	https://www.ncbi.nlm.nih.gov/pubmed/31302722	heart+disease
Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology	The entirely subcutaneous ICDTM system in patients with congenital heart disease: experience from a large single-centre analysis.	The S-ICDTM seems to be a valuable option for the prevention of SCD in patients with various CHDs and complex anatomical anomalies. The S-ICDTM is safe and works effectively, also in these complex patients. Inadequate shock delivery was rare and could be managed by reprogramming.	2019	eng	Journal Article	England	31302706	https://www.ncbi.nlm.nih.gov/pubmed/31302706	heart+disease
Heart (British Cardiac Society)	Symptoms, disease severity and treatment of adults with a new diagnosis of severe aortic stenosis.	NCT02241447;Results.	2019	eng	Journal Article	England	31302639	https://www.ncbi.nlm.nih.gov/pubmed/31302639	heart+disease
Archives of gerontology and geriatrics	Association of physical performance and self-rated health with multimorbidity among older adults: Results from a nationwide survey in Japan.	Multimorbidity is prevalent in older Japanese adults, and poor grip strength and self-rated health were independently and significantly associated with multimorbidity. Health assessments that include these indicators may provide insight into the health status patterns of older adults with multimorbidity and inform the development of health management strategies.	2019	eng	Journal Article	Netherlands	31302504	https://www.ncbi.nlm.nih.gov/pubmed/31302504	heart+disease
Diagnostic and interventional imaging	Congenitally corrected transposition of the great arteries in a 69-year-old woman.	 	2019	eng	Letter	France	31302072	https://www.ncbi.nlm.nih.gov/pubmed/31302072	heart+disease
JACC. Heart failure	Predicting Risk for Incident Heart Failure With Omega-3 Fatty Acids: From MESA.	Higher plasma EPA was significantly associated with reduced risk for HF, with both reduced and preserved EF. (Multi-Ethnic Study of Atherosclerosis [MESA]; NCT00005487).	2019	eng	Journal Article	United States	31302044	https://www.ncbi.nlm.nih.gov/pubmed/31302044	heart+disease
Transplantation proceedings	High Cardiovascular Risk Profile in Young Patients on the Kidney Transplant Waiting List.	Cardiovascular risk factors are quite common in our cohort and affect young patients similarly.	2019	eng	Journal Article	United States	31301861	https://www.ncbi.nlm.nih.gov/pubmed/31301861	heart+disease
Seminars in arthritis and rheumatism	T1 mapping cardiac magnetic resonance imaging frequently detects subclinical diffuse myocardial fibrosis in systemic sclerosis patients.	native T1 mapping detects left ventricular ET1 (potential DMF) in 50% of patients with SSc and a third of them had a normal conventional screening including standard CMR. In the future, further studies are needed to confirm the benefit of use of native T1 mapping as a part of routine follow up to detect earlier pejorative cardiac involvement in SSc patients.	2019	eng	Journal Article	United States	31301817	https://www.ncbi.nlm.nih.gov/pubmed/31301817	heart+disease
American heart journal	Determining the impact of Benzathine penicillin G prophylaxis in children with latent rheumatic heart disease (GOAL trial): Study protocol for a randomized controlled trial.	ClinicalTrials.gov: NCT03346525. Date Registered: November 17, 2017.	2019	eng	Journal Article	United States	31301533	https://www.ncbi.nlm.nih.gov/pubmed/31301533	heart+disease
The American journal of medicine	Cholesterol lowering and stroke: no longer room for pleiotropic effects of statins - confirmation from PCSK9 inhibitor studies.	These findings offer a definitive proof that the pure total (and low-density lipoprotein) cholesterol lowering, with any available lipid-lowering intervention, reduce stroke risk proportional to the extent of cholesterol reduction, without the need of invoking "pleiotropic" effects of any such treatment.	2019	eng	Journal Article	United States	31301293	https://www.ncbi.nlm.nih.gov/pubmed/31301293	heart+disease
American journal of medical genetics. Part A	GATA6 mutations: Characterization of two novel patients and a comprehensive overview of the GATA6 genotypic and phenotypic spectrum.	The first human mutations in GATA6 were described in a cohort of patients with persistent truncus arteriosus, and the phenotypic spectrum has expanded since then. This study underscores the broad phenotypic spectrum by presenting two patients with de novo GATA6 mutations, both exhibiting complex cardiac defects, pancreatic, and other abnormalities. Furthermore, we provided a detailed overview of all published human genetic variation in/near GATA6 published to date and the associated phenotypes (n = 78). We conclude that the most common phenotypes associated with a mutation in GATA6 were structural cardiac and pancreatic abnormalities, with a penetrance of 87 and 60%, respectively. Other common malformations were gallbladder agenesis, congenital diaphragmatic hernia, and neurocognitive abnormalities, mostly developmental delay. Fifty-eight percent of the mutations were de novo, and these patients more often had an anomaly of intracardiac connections, an anomaly of the great arteries, and hypothyroidism, compared with those with inherited mutations. Functional studies mostly support loss-of-function as the pathophysiological mechanism. In conclusion, GATA6 mutations give a wide range of phenotypic defects, most frequently malformations of the heart and pancreas. This highlights the importance of detailed clinical evaluation of identified carriers to evaluate their full phenotypic spectrum.	2019	eng	Journal Article	United States	31301121	https://www.ncbi.nlm.nih.gov/pubmed/31301121	heart+disease
Netherlands heart journal : monthly journal of the Netherlands Society of Cardiology and the Netherlands Heart Foundation	Interpretations of and management actions following electrocardiograms in symptomatic patients in primary care: a retrospective dossier study.	GPs who feel competent in electrocardiography performed well in the opinion of the expert panel. We formulated various learning objectives for GPs performing electrocardiography.	2019	eng	Journal Article	Netherlands	31301001	https://www.ncbi.nlm.nih.gov/pubmed/31301001	heart+disease
Bioscience reports	Insulin resistance in prostate cancer patients and predisposing them to acute ischemic heart disease.	Lack of insulin or insulin resistance (IR) plays a central role in diabetes mellitus and makes diabetics prone to acute ischemic heart disease (AIHD). It has likewise been found that many cancer patients, including prostate cancer patients die of AIHD. Previously it has been delineated from our laboratory that dermcidin could induce anomalous platelet aggregation in AIHD and also impaired nitric oxide and insulin activity and furthermore dermcidin was also found in a few types of cancer patients. To determine the role of this protein in prostatic malignancy a retrospective case-control study was conducted and blood was collected from prostate cancer patients and healthy normal volunteers. So, we measured the level of dermcidin protein and analyze the IR by HOMA score calculation. Nitric oxide was measured by methemoglobin method. HDL, HbA1c, BMI, hs-cTroponin-T were measured for the validation of the patients' status in the presence of DCN-2. Multiple logistic regression model adjusted for age and BMI identified that the Homeostasis Model Assessment (HOMA) score was significantly elevated in prostate cancer patients (OR=7.19, p 	2019	eng	Journal Article	England	31300527	https://www.ncbi.nlm.nih.gov/pubmed/31300527	heart+disease
American heart journal	Contemporary epidemiology of infective endocarditis in patients with congenital heart disease: A UK prospective study.	Infective endocarditis in patients with CHD is an ongoing clinical challenge. In contemporary practice in tertiary congenital centers, 1 of 15 patients do not survive to hospital discharge. Streptococci remain the most common causative organism, and antecedent dental or medical procedures were undertaken in a significant minority in the 3 months before diagnosis. The presence of an atrioventricular septal defect or staphylococcal infection is associated with significantly increased risk of early mortality.	2019	eng	Journal Article	United States	31299559	https://www.ncbi.nlm.nih.gov/pubmed/31299559	heart+disease
European journal of obstetrics, gynecology, and reproductive biology	Attained pregnancy among women with a prosthetic heart valve.	Women who undergo aortic or mitral valve replacement are less likely to achieve a pregnancy than matched counterparts without heart disease. This information, and the reasons for why this is so, can inform decisions about the timing of valve replacement and pregnancy planning.	2019	eng	Journal Article	Ireland	31299524	https://www.ncbi.nlm.nih.gov/pubmed/31299524	heart+disease
The Annals of thoracic surgery	Congenital heart surgery Outcomes in Turner syndrome: Society of Thoracic Surgeons Database Analysis.	Surgeries for left-sided obstructive lesions are the most common operations in TS. Despite increased morbidity for select operations, TS was not associated with increased operative mortality.	2019	eng	Journal Article	Netherlands	31299232	https://www.ncbi.nlm.nih.gov/pubmed/31299232	heart+disease
Journal of molecular and cellular cardiology	Gut microbe-derived metabolite trimethylamine N-oxide accelerates fibroblast-myofibroblast differentiation and induces cardiac fibrosis.	Cardiac function and cardiac fibrosis were significantly exacerbated in mice fed diets supplemented with either choline or TMAO, probably through accelerating the transformation of fibroblasts into myofibroblasts, indicating activation of TGF-βRI/Smad2 pathway.	2019	eng	Journal Article	England	31299216	https://www.ncbi.nlm.nih.gov/pubmed/31299216	heart+disease
Medical care	Disputes of Self-reported Chronic Disease Over Time: The Role of Race, Ethnicity, Nativity, and Language of Interview.	The odds of disputing a prior chronic disease report were substantially higher for Latinos who were interviewed in Spanish compared with non-Latino white or black counterparts interviewed in English, even after accounting for other sociodemographic factors, cognitive declines, and time-in-sample considerations. Our findings point toward leveraging of multiple sources of data to triangulate information on chronic disease status as well as investigating potential mechanisms underlying the higher probability of dispute among Spanish-speaking Latino respondents.	2019	eng	Journal Article	United States	31299025	https://www.ncbi.nlm.nih.gov/pubmed/31299025	heart+disease
Disability and rehabilitation	Experience of cardiac tele-rehabilitation: analysis of patient narratives.	None	2019	eng	Journal Article	England	31298957	https://www.ncbi.nlm.nih.gov/pubmed/31298957	heart+disease
Annals of global health	Insonation versus Auscultation in Valvular Disorders: Is Aortic Stenosis the Exception? A Systematic Review.	Compared to auscultation, insonation, in its currently available form, is a superior diagnostic tool for regurgitant lesions. However, insonation fails to improve upon auscultation for recognition of aortic stenosis. This limitation is likely due to absence of spectral Doppler and inability of HE to assess transvalvular velocity and gradient.	2019	eng	Journal Article	United States	31298821	https://www.ncbi.nlm.nih.gov/pubmed/31298821	heart+disease
Acta paediatrica (Oslo, Norway : 1992)	Pulse oximetry screening in a midwifery-led maternity setting with high antenatal detection of congenital heart disease.	Screening practices were influenced by the setting in which it was undertaken. Infant activity and age at the time of testing can influence saturation levels. Screening is associated with the identification of significant non-cardiac pathology. This article is protected by copyright. All rights reserved.	2019	eng	Journal Article	Norway	31298757	https://www.ncbi.nlm.nih.gov/pubmed/31298757	heart+disease
Preventing chronic disease	A Community-Wide Collaboration to Reduce Cardiovascular Disease Risk: The Hearts of Sonoma County Initiative.	Factors contributing to the success of HSC include 1) starting small and focused to build trust among participants and demonstrate value, 2) working within the framework of a larger effort, and 3) providing long-term, open-ended backbone support.	2019	eng	Journal Article	United States	31298211	https://www.ncbi.nlm.nih.gov/pubmed/31298211	heart+disease
Journal of cellular biochemistry	Inhibition of miR-181b-5p protects cardiomyocytes against ischemia/reperfusion injury by targeting AKT3 and PI3KR3.	Ischemic heart disease (IHD) is the most occurring cardiovascular-associated disease, which is a primary leading cause of cardiac disability and death worldwide. Myocardial ischemia/reperfusion injury (MI/RI) has been linked to IHD-induced cardiomyocytes apoptosis and tissue damage. The clinical studies have indicated that pathophysiologic mechanisms of MI/RI are associated with reactive oxygen species generation, calcium overload, energy metabolism disorder, neutrophil infiltration, and others. However, the genetic mechanism of MI/RI remains unclear. In this study, we successfully established the reproducing abnormal heart observed in rat, of IHD-induced MI/RI post operation. By using these rats, we illustrated that expression of miR-181b-5p was increased not only in both hypoxia/reoxygenation-cultured H9C2 but also heart of myocardial ischemia/reperfusion (MI/R) rat. Suppression of the miR-181b-5p cardiomyocytes apoptosis and rescued myocardial infarction. Additionally, our data indicated that miR-181b-5p negatively regulates the expression of AKT3 and PIK3R3 through directly binding with its 3'-untranslated region. More importantly, suppression of miR-181b-5p protects the cardiomyocytes apoptosis and tissue damage from MI/R via regulation of PIK3R3 and AKT3. Hence, our study indicates that miR-181b-5p is essential for MI/RI via regulation of PI3K/Akt signaling pathway and could be a potential therapeutic target in IHD.	2019	eng	Journal Article	United States	31297863	https://www.ncbi.nlm.nih.gov/pubmed/31297863	heart+disease
European journal of pediatrics	Significance of automated external defibrillator in identifying lethal ventricular arrhythmias.	Automated electrical defibrillator (AED) is critical in saving children who develop unexpected cardiac arrest (CA), but its diagnostic capacity is not fully acknowledged. Retrospective cohort study of patients with aborted sudden cardiac death (SCD) was performed. Twenty-five patients (14 males) aged 1.3 to 17.5 years who presented with CA survived with prompt cardiopulmonary resuscitation. Eighteen patients had no prior cardiac diagnosis. Cardiac arrest occurred in 10 patients with more than moderate exercise, in 7 with light exercise, and in 8 at rest (including one during sleep). Twenty-two patients were resuscitated with AED, all of which were recognized as a shockable cardiac rhythm. Thorough investigations revealed 6 ion channelopathies (4 catecholaminergic polymorphic ventricular tachycardia, one long QT syndrome, and one Brugada syndrome), 5 congenital heart disease (including 2 with coronary artery obstruction), 6 cardiomyopathies, 2 myocarditis, and 2 miscellaneous. Four patients had no identifiable heart disease. In 5 patients, the downloaded AED-recorded rhythm strip delineated the underlying arrhythmias and their responses to electrical shocks. Four patients who presented with generalized seizure at rest were initially managed for seizure disorder until AED recording identified lethal ventricular arrhythmias.Conclusions: AED reliably identifies the underlying lethal ventricular arrhythmias in addition to aborting SCD. What is Known: • Although infrequent in children, sudden cardiac death (SCD) is often an unexpected and tragic event. The etiology is diverse and sometimes remains unknown despite extensive investigations. • Automated external defibrillator (AED) is both therapeutic in aborting SCD and diagnostic in identifying the underlying lethal ventricular arrhythmias. However, the diagnostic aspect of AED is under-acknowledged by most medical providers. What is New: • Four of 25 patients (16%) were initially managed for possible seizure disorders until AED recording identified lethal ventricular arrhythmia. • The AED recording of the lethal arrhythmia during cardiopulmonary resuscitation (CPR) should always be obtained as it plays a crucial role in the decision-making process before ICD implantation. All medical providers should become familiar with downloading cardiac rhythm strips from AED when requested.	2019	eng	Journal Article	Germany	31297625	https://www.ncbi.nlm.nih.gov/pubmed/31297625	heart+disease
Current health sciences journal	The Impact of the Risk Factors in the Evolution of the Patients with Left Main Coronary Artery Stenosis Treated with PCI or CABG.	The aim of our study was to identify the cardiovascular risk factors present in patients with left main coronary artery disease (LMCAD), which influenced the progression of these patients in both percutaneous coronary intervention (PCI) and coronary artery bypass grafting (CABG). We performed a clinical observational descriptive study in which, during three years, we followed the evolution of 81 patients who were diagnosed with left main coronary artery disease and who were treated either by interventional revascularization by stent implantation, by surgical revascularization by performing an aortic-coronary bypass. In our study the risk factors according to which the evolution of the patients was observed were represented by diabetes, smoking, age and gender. The primary endpoint was mortality from any cause and other clinical endpoints were the reduction of left ventricular ejection fraction, symptomatic ischemic heart disease manifested by angina pectoris, non-procedural myocardial infarction or need for repeated revascularization. In our study diabetes was the risk factor that negatively influenced the evolution of patients with LMCAD treated either by PCI or by CABG for the most part, followed by smoking, male gender and age over 65 years.	2019	eng	Case Reports	Romania	31297258	https://www.ncbi.nlm.nih.gov/pubmed/31297258	heart+disease
Heart Asia	Inter-rater and intra-rater reliability and agreement of echocardiographic diagnosis of rheumatic heart disease using the World Heart Federation evidence-based criteria.	The WHF echocardiographic criteria enable reproducible categorisation of echocardiograms as definite RHD versus no or borderline RHD and hence it would be a suitable tool for screening and monitoring disease progression. The study highlights the strengths and limitations of the WHF echo criteria and provides a platform for future revisions.	2019	eng	Journal Article	England	31297166	https://www.ncbi.nlm.nih.gov/pubmed/31297166	heart+disease
Heart Asia	Severe adverse events following benzathine penicillin G injection for rheumatic heart disease prophylaxis: cardiac compromise more likely than anaphylaxis.	These results indicate that anaphylaxis is not a major cause of adverse reactions to BPG. An alternative mechanism for sudden death following BPG administration in people with severe RHD is proposed.	2019	eng	Journal Article	England	31297163	https://www.ncbi.nlm.nih.gov/pubmed/31297163	heart+disease
Heart Asia	Cardioprotective medication adherence among patients with coronary heart disease in China: a systematic review.	In China, poor cardioprotective medication adherence is a key reason for the high mortality rate of coronary heart disease (CHD). The aims of this systematic review are to (1) describe and synthesise factors that influence medication adherence among Chinese people with CHD, (2) evaluate the current status of intervention studies, and (3) discuss directions of future research to improve medication adherence. A comprehensive search using PubMed, Cumulative Index to Nursing and Allied Health Literature, Embase, Scopus, Global Health and PsycINFO was undertaken to describe poor adherence in China. Thirty-three eligible articles were included in the study. The review shows that there are multiple contributing factors to poor medication adherence, including patients' sociodemographic characteristics, health status and medication characteristics. In addition, from patients' perspective, lack of medication-related knowledge, such as the name, function, dosage and frequency, contributes to poor adherence. From physicians' perspective, a gap exists between CHD secondary prevention guidelines and clinical practice in China. Follow-up phone calls, educational lectures, booklets and reminder cards were common methods found to be effective in improving medication adherence. This systematic review indicates that cardioprotective medications were commonly prescribed as secondary prevention medication to patients with CHD in China, but adherence to these medications gradually decreased during a follow-up period. Therefore, more research should be conducted on how to establish high-quality health educational programmes aimed at increasing patients' medication adherence.	2019	eng	Systematic Review	England	31297162	https://www.ncbi.nlm.nih.gov/pubmed/31297162	heart+disease
Scientific reports	Independent Predictors of Cardiac Mortality and Hospitalization for Heart Failure in a Multi-Ethnic Asian ST-segment Elevation Myocardial Infarction Population Treated by Primary Percutaneous Coronary Intervention.	We aimed to identify independent predictors of cardiac mortality and hospitalization for heart failure (HHF) from a real-world, multi-ethnic Asian registry [the Singapore Myocardial Infarction Registry] of ST-segment elevation myocardial infarction (STEMI) patients treated by primary percutaneous coronary intervention. 11,546 eligible STEMI patients between 2008 and 2015 were identified. In-hospital, 30-day and 1-year cardiac mortality and 1-year HHF rates were 6.4%, 6.8%, 8.3% and 5.2%, respectively. From the derivation cohort (70% of patients), age, Killip class and cardiac arrest, creatinine, hemoglobin and troponin on admission and left ventricular ejection fraction (LVEF) during hospitalization were predictors of in-hospital, 30-day and 1-year cardiac mortality. Previous ischemic heart disease (IHD) was a predictor of in-hospital and 30-day cardiac mortality only, whereas diabetes was a predictor of 1-year cardiac mortality only. Age, previous IHD and diabetes, Killip class, creatinine, hemoglobin and troponin on admission, symptom-to-balloon-time and LVEF were predictors of 1-year HHF. The c-statistics were 0.921, 0.901, 0.881, 0.869, respectively. Applying these models to the validation cohort (30% of patients) showed good fit and discrimination (c-statistic 0.922, 0.913, 0.903 and 0.855 respectively; misclassification rate 14.0%, 14.7%, 16.2% and 24.0% respectively). These predictors could be incorporated into specific risk scores to stratify reperfused STEMI patients by their risk level for targeted intervention.	2019	eng	Journal Article	England	31296912	https://www.ncbi.nlm.nih.gov/pubmed/31296912	heart+disease
BMJ case reports	Late perioperative native coronary artery spasm following bypass grafting in a patient with anomalous aortic origin of the coronary artery.	Native right coronary artery (RCA) spasm is a less frequent early complication of perioperative coronary artery bypass grafting. Late presentation at 6 days postoperation is scarce and its relationship with an anomalous coronary artery is unknown. The optimal management and prevention remains controversial. In the case presented, the patient's anomalous left coronary artery originating from the right coronary cusp underwent ligation at its proximal segment at the time of bypass grafting. This ligation was preformed to prevent competitive flow. Six days postoperation, a refractory spasm of dominant native RCA occurred. The spasm resulted in right ventricular failure. Administration of intracoronary verapamil had a longer sustained vasodilatory effect and resolution of coronary spasm when compared with intracoronary nitroglycerine injection. An intra-aortic balloon pump, inotropic agents and low-dose nitroglycerine were used to maintain adequate haemodynamic support. Right ventricular systolic function recovery was noted within 2 days postintervention.	2019	eng	Journal Article	England	31296618	https://www.ncbi.nlm.nih.gov/pubmed/31296618	heart+disease
Heart (British Cardiac Society)	Valve under the microscope: shining a light on emerging technologies elucidating disease mechanisms.	 	2019	eng	Editorial	England	31296591	https://www.ncbi.nlm.nih.gov/pubmed/31296591	heart+disease
Pathology, research and practice	miR-17 regulates the proliferation and apoptosis of endothelial cells in coronary heart disease via targeting insulin-like-growth factor 1.	Coronary heart disease (CHD) is one of the main risks of death, which is mainly caused by coronary arteries arteriosclerosis. The present study aims to investigate the potential roles of miR-17 in CHD. In the present study, Human umbilical vascular endothelial cells (HUVECs) were treated with oxidized low density lipoprotein (ox-LDL). qRT-PCR and western blot were used to examine the mRNA and protein levels, respectively. CCK-8 and flow cytomtry were conducted to determine the proliferation and apoptosis of ox-LDL treated HUVECs. Moreover, luciferase assay was performed to confirm whether insulin-like Growth Factor-1 (IGF-1) was a target of miR-17. The results showed that miR-17 was upregulated in ox-LDL treated HUVECs, while IGF-1 was downregulated. The luciferase activity of ox-LDL treated HUVECs was decreased after the treatment of miR-17 mimics and IGF-1 3'UTR WT. Moreover, overexpressed miR-17 promoted the cell viability and inhibited the apoptosis of ox-LDL treated HUVECs, which was more potent after the treatment of IGF-1 siRNA. Furthermore, the expression of Bax and Caspase3 was decreased, and Bcl-2 was increased in ox-LDL treated HUVECs transfected with miR-17 mimics, which was further decreased after transfection with IGF-1 siRNA. Taken together, miR-17 may regulate the proliferation and apoptosis of ox-LDL treated HUVECs. miR-17 may be a promising biomarker for CHD.	2019	eng	Journal Article	Germany	31296440	https://www.ncbi.nlm.nih.gov/pubmed/31296440	heart+disease
BMC medicine	Sex differences in the association between diabetes and risk of cardiovascular disease, cancer, and all-cause and cause-specific mortality: a systematic review and meta-analysis of 5,162,654 participants.	Compared with men with the same condition, women with diabetes have a 58% and 13% greater risk of CHD and all-cause mortality, respectively, although there was a significant heterogeneity between studies. This points to an urgent need to develop sex- and gender-specific risk assessment strategies and therapeutic interventions that target diabetes management in the context of CHD prevention.	2019	eng	Journal Article	England	31296205	https://www.ncbi.nlm.nih.gov/pubmed/31296205	heart+disease
Circulation. Heart failure	Plasma Ceramides and Sphingomyelins in Relation to Heart Failure Risk.	URL: https://www.clinicaltrials.gov . Unique identifier: NCT00005133.	2019	eng	Journal Article	United States	31296099	https://www.ncbi.nlm.nih.gov/pubmed/31296099	heart+disease
Brain injury	Healthy lifestyle after traumatic brain injury: a brief narrative.	Individuals living with traumatic brain injury (TBI) are at an increased risk for developing chronic conditions such as diabetes, heart disease, and hypertension compared to the non-injured population. Furthermore, TBI-specific challenges such as physical limitations, pain, mood, and impaired cognition make it difficult to live a healthy lifestyle. Key health behaviors that contribute to overall health and well-being after TBI include physical activity and healthy eating, sleep, participation, eliminating substance abuse, and managing stress. The objectives of this narrative are to (1) describe the key components of a healthy lifestyle for individuals with a TBI, (2) identify the challenges that individuals with TBI face when attempting to establish these health behaviors, and (3) discuss approaches and supports to achieve these health behaviors after TBI, including the role of self-management.	2019	eng	Journal Article	England	31296066	https://www.ncbi.nlm.nih.gov/pubmed/31296066	heart+disease
Circulation. Arrhythmia and electrophysiology	Comparison of the Ventricular Tachycardia Circuit Between Patients With Ischemic and Nonischemic Cardiomyopathies.	Among mappable ICM VTs, critical circuit components can usually be identified on the endocardium. In contrast, among mappable NICM VTs, although some critical component can typically be identified with the addition of epicardial mapping, the isthmus is less commonly identified, possibly due to midmyocardial location.	2019	eng	Journal Article	United States	31296041	https://www.ncbi.nlm.nih.gov/pubmed/31296041	heart+disease
International journal of molecular sciences	Protective Effects of Euthyroidism Restoration on Mitochondria Function and Quality Control in Cardiac Pathophysiology.	Mitochondrial dysfunctions are major contributors to heart disease onset and progression. Under ischemic injuries or cardiac overload, mitochondrial-derived oxidative stress, Ca	2019	eng	Review	Switzerland	31295805	https://www.ncbi.nlm.nih.gov/pubmed/31295805	heart+disease
Internal medicine journal	Sudden cardiac death: an update.	Sudden cardiac death (SCD) is a devastating and all too common result of both acquired and genetic heart diseases. The profound sadness endured by families is compounded by the risk many of these deaths confer upon surviving relatives. For those with known cardiac disease, disease-specific therapy and risk stratification are key to reducing sudden death. For families of a SCD victim, uncovering a definitive cause of death can help relieve the agonising uncertainty and is a vital first step in screening surviving relatives and instituting therapy to reduce SCD risk. Increasing knowledge about the molecular mechanisms and genetic drivers of malignant arrhythmias in the diverse clinical entities that can cause SCD is vital if we are to optimise risk stratification and personalise patient care. Advances in diagnostic tools, disease-specific therapy and defibrillator technology are improving outcomes for patients and their families but there is still much progress to be made.	2019	eng	Journal Article	Australia	31295785	https://www.ncbi.nlm.nih.gov/pubmed/31295785	heart+disease
